Date,InletT-Avg,OutletT,InletFlow,FGFlow,AmbientT,ExcessO2,DraftP,Density
5285,294.94461989695054,390.5461919889251,92.9843364758342,938.3426869716291,28.381310157741225,5.565497287890278,-11.903117310001166,0.863
5286,294.89963182283685,390.56092563407003,92.99730649540945,938.809325276967,28.193954971881237,4.791797081514738,-11.798810466820864,0.863
5287,294.9169514111038,390.5681031853658,93.0033786923649,939.899760943796,28.173588047419397,4.855568024674779,-11.88543169077007,0.863
5288,295.01426228645613,390.58189938665873,92.99490444861877,938.681345009086,27.973101455967175,5.4173432385726,-11.966170244867046,0.863
5289,294.5012262194257,390.48575700977545,92.98517807745323,943.7745218393939,27.921640356868338,6.030537063950481,-12.100687630743744,0.863
5290,293.8793353083033,390.574854168711,92.99202601970516,949.7334898628544,27.88021357677108,7.328938971330604,-12.185413449284283,0.863
5291,293.793958525746,390.5742566789573,93.01930374614761,954.4354657397653,28.202150008743892,7.034758610118987,-12.3928452813824,0.863
5292,293.72985563548167,391.0922149930689,92.98841650382602,965.2089914569159,28.675521725758028,5.944062796409165,-12.303589228634184,0.863
5293,294.3382313665576,391.5162938389078,93.00030358576558,971.3992969422362,29.18222162277144,7.022594860651802,-12.25151796727687,0.863
5294,294.78050098664977,391.5995631936147,93.01554124923122,970.1567249592896,29.73637461902416,8.735622930615227,-11.78046379249736,0.863
5295,294.9998331752272,391.5616016653356,92.98599131708383,967.5900985344488,30.203674673068072,7.4631597283288515,-11.899434799704519,0.863
5296,295.38421676497717,391.5406366466159,93.01580762663426,966.3259164304098,31.217726074770805,8.705927410883325,-12.156901832016828,0.863
5297,295.79193813544197,391.49552157199474,93.00372660858429,962.0442903397994,31.650795983936085,12.267542670320998,-12.243915266485297,0.863
5298,295.86747342072573,391.47829125568245,93.0037540713823,961.6678861149012,31.486296028118954,8.717947978700849,-12.145656376647947,0.863
5299,295.4297998769775,391.54101351082164,93.01974729117732,966.0987730863162,30.96941960271379,7.2818462898853,-11.992917043701944,0.863
5300,295.1469794407668,391.5859379392996,93.01034345880248,970.0095519033832,30.688601050824886,6.583681066936266,-11.956568105715482,0.863
5301,295.08192211486426,391.6005519332487,93.00557445849594,969.3295303865276,30.602824280901686,6.120191994210324,-11.92536488695978,0.863
5302,295.2666204638318,391.67600101906254,92.99905162831855,965.7417263474085,30.261289185576324,6.919193774011062,-11.942186201436892,0.863
5303,295.5695481557457,391.66279670881164,92.99248490262652,964.9548156404131,29.878520356234898,8.703926350644002,-11.90634039698047,0.863
5304,295.2524053721281,391.6558263691034,92.98523630720865,971.5130100979866,29.461242411606744,6.093012111438838,-11.85972061487139,0.863
5305,294.72818113474284,391.7177261850397,93.01313444881308,978.3535954232586,29.276064362853827,8.399009480666528,-11.690706166710797,0.863
5306,294.8579541209854,392.0174221558161,92.9900465397784,983.5404983648059,28.975010555852492,10.532636649453677,-11.899964258936299,0.863
5307,295.15289002606244,392.48655380306667,93.00839216969013,984.1369137698176,28.641864230316262,10.280609742644044,-11.796442844215516,0.863
5308,295.03301080311223,392.46074486563833,93.00691345820725,987.0942996659144,28.43456164068257,8.811256442615052,-11.501313899549888,0.863
5309,295.14542077254544,392.38903343427944,92.97612574720641,984.7627078543105,28.205866823010723,8.416278634750263,-11.603207909809546,0.863
5310,295.121398983833,392.339188479869,93.0017890144109,986.5313092950375,27.957689420791993,8.109295904374928,-11.595461687579917,0.863
5311,295.0234728142452,392.3676594363007,93.00312077779405,986.1025658844458,27.73401023648994,9.851152447318126,-11.791791304877279,0.863
5312,295.0645918269303,392.362499274679,92.99802079435908,984.9285123993837,27.665188776528545,9.985552032527506,-11.737913606461523,0.863
5313,295.04896267618585,392.36518581607623,92.99523488650598,983.773529012823,27.621776629147906,9.402046609709785,-11.793651249227786,0.863
